window_start_utc,window_end_utc,device,packet_count,packet_rate,mean_inter_arrival_ms,std_inter_arrival_ms,min_inter_arrival_ms,max_inter_arrival_ms,duplicate_ratio,seq_increment_mean,seq_increment_std,unique_modes,dominant_mode,label
2026-05-15T14:29:45.208Z,2026-05-15T14:30:45.208Z,esp32_1,5,0.0833,11436.5,858.29,10018.0,12323.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:29:52.535Z,2026-05-15T14:30:52.535Z,esp32_2,7,0.1167,9807.17,2586.1,6172.0,12872.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:29:54.603Z,2026-05-15T14:30:54.603Z,esp32_3,110,1.8333,541.36,484.69,14.0,2540.0,0.3273,0.6789,0.4862,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:29:55.208Z,2026-05-15T14:30:55.208Z,esp32_1,5,0.0833,11827.5,1164.81,10018.0,13207.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:30:02.535Z,2026-05-15T14:31:02.535Z,esp32_2,5,0.0833,9983.25,2693.43,6172.0,12872.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:30:04.603Z,2026-05-15T14:31:04.603Z,esp32_3,82,1.3667,737.57,538.47,14.0,2540.0,0.5488,0.4444,0.4969,2,REPLAY_ATTACK,REPLAY_ATTACK
2026-05-15T14:30:05.208Z,2026-05-15T14:31:05.208Z,esp32_1,5,0.0833,12741.75,745.43,11762.0,13675.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:30:12.535Z,2026-05-15T14:31:12.535Z,esp32_2,5,0.0833,11166.5,2922.92,6172.0,13486.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:30:14.603Z,2026-05-15T14:31:14.603Z,esp32_3,52,0.8667,1152.0,369.99,14.0,2540.0,0.9808,0.0,0.0,1,REPLAY_ATTACK,REPLAY_ATTACK
2026-05-15T14:30:15.208Z,2026-05-15T14:31:15.208Z,esp32_1,5,0.0833,13075.5,485.65,12323.0,13675.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:30:22.535Z,2026-05-15T14:31:22.535Z,esp32_2,5,0.0833,10615.5,2895.83,6172.0,13486.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:30:24.603Z,2026-05-15T14:31:24.603Z,esp32_3,47,0.7833,1216.67,643.22,827.0,5326.0,0.9362,0.0435,0.2039,2,REPLAY_ATTACK,REPLAY_ATTACK
2026-05-15T14:30:25.208Z,2026-05-15T14:31:25.208Z,esp32_1,5,0.0833,11518.75,3138.34,6096.0,13675.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
